story_index,doc_key,story_id,model_type,prompt_type,seed,num_story_images,source_file
0,2926,0,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
1,8551,1,claude45,large,42,8,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
2,6847,2,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
3,8061,3,claude45,large,42,8,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
4,11340,4,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
5,3891,5,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
6,7702,6,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
7,10408,7,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
8,7596,8,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
9,11260,9,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
10,723,10,claude45,large,42,9,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
11,6729,11,claude45,large,42,9,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
12,9334,12,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
13,11719,13,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
14,6111,14,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
15,4173,15,claude45,large,42,8,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
16,2400,16,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
17,2722,17,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
18,5062,18,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
19,1214,19,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
20,9914,20,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
21,515,21,claude45,large,42,9,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
22,1467,22,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
23,13683,23,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
24,6921,24,claude45,large,42,7,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
25,5047,25,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
26,11543,26,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
27,7065,27,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
28,1111,28,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
29,948,29,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
30,9418,30,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
31,3295,31,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
