model,prompt,story_id,groovist_raw,groovist
human,original,13683,0.454411119222641,0.42551819172448146
human,original,13596,0.2462811917066574,0.2414197566947521
human,original,12423,0.2576318383216858,0.2520791804345022
human,original,12358,0.6687819957733154,0.5841781106101654
human,original,11719,0.18894344568252563,0.18672669179569107
human,original,11678,0.4747825562953949,0.4420554204845765
human,original,11543,0.45708605647087097,0.427706293711258
human,original,11541,0.5463677644729614,0.497792978922896
human,original,11457,0.2121158242225647,0.20899080286946647
human,original,11340,0.8083412647247314,0.6686742035563726
human,original,11260,0.6380032896995544,0.5635384823763564
human,original,10499,1.0946757793426514,0.7985783870318172
human,original,10486,1.6325079202651978,0.9264179058931893
human,original,10408,0.602300763130188,0.5386847155646775
human,original,9914,0.8140676021575928,0.6718280405886473
human,original,9418,0.09247047454118729,0.09220780774616613
human,original,9334,0.9257227778434753,0.7285934769288507
human,original,8551,-0.03094186820089817,-0.030931997407629398
human,original,8154,0.13835930824279785,0.13748313229293468
human,original,8085,0.13869236409664154,0.13780987788074733
human,original,8061,0.5470547080039978,0.498309522607672
human,original,7702,0.2011716365814209,0.1985010524969522
human,original,7596,1.016018271446228,0.7682397778356571
human,original,7195,0.7558255791664124,0.6386115590452178
human,original,7150,0.33180567622184753,0.32014232298011447
human,original,7065,-0.11146505922079086,-0.11100571091229489
human,original,6921,-0.05597090721130371,-0.055912532879840236
human,original,6878,0.7360696196556091,0.6267646442643888
human,original,6847,0.8783215880393982,0.7055774860895851
human,original,6729,0.5812561511993408,0.5235778270550356
human,original,6215,0.8055572509765625,0.6671321257405399
human,original,6111,-0.04851820319890976,-0.048480168136353204
human,original,5721,1.3137876987457275,0.8652306749962864
human,original,5540,0.09107530862092972,0.09082432683642011
human,original,5349,1.2336925268173218,0.8436470534654561
human,original,5265,0.5792359709739685,0.5221098957266107
human,original,5201,0.5138485431671143,0.47293836891509217
human,original,5062,-0.08725947886705399,-0.08703868046640702
human,original,5047,0.0915265753865242,0.09127185270346233
human,original,4797,0.3733433783054352,0.35691266369222296
human,original,4173,0.7495477795600891,0.6348790865961849
human,original,4047,0.5403785109519958,0.4932744319413879
human,original,3891,0.7164682149887085,0.6147168665759651
human,original,3761,0.3734046518802643,0.35696613066229854
human,original,3295,0.40386879444122314,0.3832543775663459
human,original,3230,1.2055002450942993,0.8353246174027892
human,original,2926,0.28861474990844727,0.28085933088089876
human,original,2722,0.4754256010055542,0.44257265879996494
human,original,2702,1.87896728515625,0.9544001678534914
human,original,2400,0.711050808429718,0.6113353444459363
human,original,1467,0.4237636625766754,0.4000963707786193
human,original,1214,1.67794668674469,0.9325945853771456
human,original,1201,0.8976247310638428,0.7151393415746865
human,original,1111,0.5144031643867493,0.47336882466446506
human,original,948,0.914070725440979,0.7230803436941962
human,original,733,0.012923972681164742,0.012923253169524487
human,original,723,1.334720492362976,0.8703983247280546
human,original,721,0.06998784840106964,0.06987379805609704
human,original,515,0.6564629673957825,0.5760047175105154
human,original,345,0.5354648232460022,0.48954733736011824
human,large,515,0.9875878890355428,0.7563319141316678
human,large,10499,0.9538518786430359,0.7415219141833613
human,large,12423,0.9723337888717651,0.7497280608466151
human,large,6921,0.3064626803000768,0.2972156544615392
human,large,2702,1.084493358929952,0.7948594637725286
human,large,5265,1.0803454518318176,0.7933271676820273
human,large,11541,0.5952573617299398,0.53366621894062
human,large,8085,1.1942751010258992,0.8319000437085609
human,large,11543,0.48447609941164654,0.44982119906747603
human,large,7702,0.8999906778335571,0.71629333104403
human,large,7065,0.39547834793726605,0.37607342963188556
human,large,7195,0.766777237256368,0.6450515622859848
human,large,13596,0.8308912664651871,0.6809542835897643
human,large,3230,0.46145889659722644,0.43127250591557753
human,large,11678,0.7240241368611654,0.6193957593319385
human,large,2722,0.7430709600448608,0.630996979212811
human,large,5540,0.43455296754837036,0.4091192552802829
human,large,10408,0.4776338040828705,0.44434660336547477
human,large,7596,0.5028174718221029,0.46433006452190595
human,large,3761,0.6559432906409105,0.5756573559082465
human,large,1201,0.45881229639053345,0.42911570594460813
human,large,3891,1.0829805135726929,0.7943017662773761
human,large,948,0.820842444896698,0.6755281405780967
human,large,5047,0.5286201735337576,0.4843256378729313
human,large,9914,0.9026091694831848,0.7175659472777751
human,large,1467,0.23825758509337902,0.2338492919831192
human,large,4797,0.9322173198064169,0.7316260091097954
human,large,1214,1.0005131562550862,0.7618095842042505
human,large,6847,0.9547559022903442,0.7419285834119327
human,large,11457,0.8711678981781006,0.7019670240925976
human,large,12358,0.6366110940774282,0.5625876687916175
human,large,11719,0.34098002314567566,0.32835203787301626
human,large,6215,0.7386074662208557,0.628303088215015
human,large,6729,0.3753700256347656,0.358679862510378
human,large,9418,0.45780179897944134,0.428290924457643
human,large,5062,1.2074206670125325,0.8359041015579626
human,large,11340,0.6862189074357351,0.5955474674251724
human,large,4173,1.1447690924008687,0.8160137634716272
human,large,4047,0.615579346815745,0.5480426168208434
human,large,5201,0.30793042480945587,0.2985531581824077
human,large,721,0.5349093799789747,0.4891248949101476
human,large,723,0.96529754002889,0.7466305432170807
human,large,1111,1.048843999703725,0.78135652283252
human,large,5721,0.5873361478249232,0.527977033034461
human,large,8154,0.4502499798933665,0.4221044673560713
